Equipment,Operation,Product,Material,Time,Lot,OPOrder
S206,SMT-B,S818-R70A PCBA,S818-R70A PCBA,47.85,1,1
S206,SMT-T,H110M01-6KS3HDM-BB,H110M01-6KS3HDM-BB,58.08,1,1
S206,SMT-T,H61A02CN-6K3H,H61A02CN-6K3H,42.35,1,1
S206,SMT-T,H61A02CN-6K3H,H61A02CN-6K3H,42.35,1,1
S204,SMT-B,S818-R70A PCBA,S818-R70A PCBA,30.85,1,1
