Stage,UpperGroup,LowerGroup,Time
SMT-T,23,23,10
SMT-B,23,23,10
SMT-T,32,23,45
SMT-B,32,23,45
SMT-T,46,23,45
SMT-B,46,23,45
SMT-T,23,32,45
SMT-B,23,32,45
SMT-T,32,32,10
SMT-B,32,32,10
SMT-T,46,32,45
SMT-B,46,32,45
SMT-T,23,46,45
SMT-B,23,46,45
SMT-T,32,46,45
SMT-B,32,46,45
SMT-T,46,46,10
SMT-B,46,46,10
