Job,Order,Product,Quantity,Priority,Deadline
WBA-K500010,WBA-K50001,S818-R70A PCBA,1200,1,2020/5/14
WBC-K400031,WBC-K40003,S818-R70A PCBA,1200,1,2020/5/5
WBC-K800012,WBC-K80001,H61A02CN-6K3H,50,1,2020/8/19
WBC-K300013,WBC-K30001,H110M01-6KS3HDM-BB,1990,1,2020/3/31
WBC-K300014,WBC-K30001,H110M01-6KS3HDM-BB,1990,1,2020/3/31
WBC-K300015,WBC-K30001,H110M01-6KS3HDM-BB,1990,1,2020/3/31
WBC-K300016,WBC-K30001,H110M01-6KS3HDM-BB,1990,1,2020/3/31
