Operation,Equipment,Stage,Position
SMT-B,S202,SMT-B,Fab1
SMT-B,S203,SMT-B,Fab1
SMT-B,S204,SMT-B,Fab1
SMT-B,S206,SMT-B,Fab1
SMT-T,S203,SMT-T,Fab1
SMT-T,S205,SMT-T,Fab1
SMT-T,S206,SMT-T,Fab1
